object_id;title;status;visibility;gold_indicators_found;missing_fields;oefos_ids;oefos_labels;bk_ids;bk_labels;gnd_ids;gnd_labels;mime_types;file_formats;date_published;language;object_types;doi_internal;doi_external
o:7694;OER Policy der USTP – University of Applied Sciences St. Pölten;GREEN;True;0;None;oefos2012:503006, oefos2012:503;Bildungsforschung, Erziehungswissenschaften;None;None;None;None;application/pdf;PDF;Pending API Update;deu;learning object, Other;None;None
o:7696;Tilesets;GREEN;True;0;None;oefos2012:102008, oefos2012:102;Computergraphik, Informatik;None;None;None;None;application/vnd.openxmlformats-officedocument.presentationml.presentation;MS PowerPoint;Pending API Update;eng;learning object, Presentation;None;None
o:7686;Introducing Social Innovation: Creativity, Constraints and Change;RED;False;0;MISSING_DISCIPLINE;None;None;None;None;None;None;video/mp4;Video (MP4);Pending API Update;eng;learning object, Video;None;None
o:7690;Evolution of Quality Management Selection;GREEN;True;0;None;oefos2012:502032;Qualitätsmanagement;None;None;None;None;application/pdf;PDF;Pending API Update;eng;learning object, Text;None;None
o:7693;Process Modelling Exercises;GREEN;True;0;None;oefos2012:502032;Qualitätsmanagement;None;None;None;None;application/vnd.openxmlformats-officedocument.presentationml.presentation;MS PowerPoint;Pending API Update;eng;learning object, Drill and Practice;None;None
o:7695;Tilesets;GREEN;True;0;None;oefos2012:102008, oefos2012:102;Computergraphik, Informatik;None;None;None;None;application/pdf;PDF;Pending API Update;eng;learning object, Presentation;None;None
o:7691;Evolution of Quality Management Selection;GREEN;True;0;None;oefos2012:502032;Qualitätsmanagement;None;None;None;None;application/vnd.openxmlformats-officedocument.presentationml.presentation;MS PowerPoint;Pending API Update;eng;learning object, Text;None;None
o:7688;Core Principles of Quality Management;GREEN;True;0;None;oefos2012:502032;Qualitätsmanagement;None;None;None;None;application/pdf;PDF;Pending API Update;eng;learning object, Text;None;None
o:7689;Core Principles of Quality Management;GREEN;True;0;None;oefos2012:502032;Qualitätsmanagement;None;None;None;None;application/vnd.openxmlformats-officedocument.presentationml.presentation;MS PowerPoint;Pending API Update;eng;learning object, Text;None;None
o:7692;Process Modelling Exercises;GREEN;True;0;None;oefos2012:502032;Qualitätsmanagement;None;None;None;None;application/pdf;PDF;Pending API Update;eng;learning object, Drill and Practice;None;None
o:7681;PuTTY: Key generation for GitLab Access on Windows;GREEN;True;0;None;oefos2012:1020;Informatik;None;None;None;None;application/pdf;PDF;Pending API Update;eng;learning object, Other;None;None
o:7668;Statistical Test Selection Guide;GREEN;True;0;None;oefos2012:1020;Informatik;None;None;None;None;application/pdf;PDF;Pending API Update;eng;learning object, Text;None;None
o:7678;Moodle: Switch text editor;GREEN;True;0;None;oefos2012:503008;E-Learning;None;None;None;None;application/pdf;PDF;Pending API Update;eng;learning object, Other;None;None
o:7680;VeraCrypt: Container 101 on Windows;GREEN;True;0;None;oefos2012:102016;IT-Sicherheit;None;None;None;None;application/pdf;PDF;Pending API Update;eng;learning object, Other;None;None
o:7667;Types of Literature Reviews;GREEN;True;0;None;oefos2012:1020;Informatik;None;None;None;None;application/pdf;PDF;Pending API Update;eng;learning object, Text;None;None
o:7682;Effiziente Literaturrecherche mit Elicit;GREEN;True;0;None;oefos2012:303024, oefos2012:102001;Pflegewissenschaft, Artificial Intelligence;None;None;None;None;application/pdf;PDF;Pending API Update;deu;Presentation;None;None
o:7675;OER-Weiterbildungskonzept USTP – University of Applied Sciences St. Pölten;GREEN;True;0;None;oefos2012:503006;Bildungsforschung;None;None;None;None;application/pdf;PDF;Pending API Update;deu;learning object, Course;None;None
o:7683;Effiziente Literaturrecherche mit SciSpace;GREEN;True;0;None;oefos2012:303024, oefos2012:102001;Pflegewissenschaft, Artificial Intelligence;None;None;None;None;application/pdf;PDF;Pending API Update;deu;learning object, Presentation;None;None
o:7684;Effizientes Literaturscreening mit Rayyan;GREEN;True;0;None;oefos2012:303024, oefos2012:102001;Pflegewissenschaft, Artificial Intelligence;None;None;None;None;application/pdf;PDF;Pending API Update;deu;learning object, Presentation;None;None
o:7315;Diskussion;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:7335;Vernetzung;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:7666;IMRAD Structure Flow;GREEN;True;0;None;oefos2012:1020;Informatik;None;None;None;None;application/pdf;PDF;Pending API Update;eng;learning object, Text;None;None
o:7449;Bookmark - Usability and UX Evaluation;GREEN;True;0;None;oefos2012:102024;Usability Research;None;None;None;None;image/png;Bild (PNG);Pending API Update;eng;learning object, Image;None;None
o:7317;Fragezeichen einzeln;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:7314;Cycle;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:7676;OER Policy der USTP – University of Applied Sciences St. Pölten;GREEN;True;0;None;oefos2012:503006;Bildungsforschung;None;None;None;None;application/pdf;PDF;Pending API Update;deu;learning object, Other;None;None
o:7319;Graph;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:7323;OER;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:7333;Schritte;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:7326;Onlineunterricht;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:7320;Headset;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:7337;Welt;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:7322;Moodle;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:7331;Podest;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
